Open,High,Low,Close,Adj Close,Volume,MA_1,MA_2,MA_3,MA_4,MA_5,RSI1,RSI1MAL,RSI1MAH,RSI2,RSI2MAL,RSI2MAH,RSI3,RSI3MAL,RSI3MAH,Compare_Close,CRS,CRSMAL,CRSMAH,Sto_main,Sto_signal,MACD,MACD_signal
188,189.6600037,184.6399994,184.8999939,184.7040253,33209400,177.1389977,,,,,68.62849948,61.55744226,68.93664877,68.62849948,61.55744226,68.93664877,68.62849948,61.55744226,68.93664877,404.4700012,0.457141428,,,73.5802539,56.08935936,7.901864547,8.934132379
189,190.3600006,184.0099945,184.5099945,184.3144379,36701500,177.0614975,,,,,68.01995249,62.53186459,68.73592021,68.01995249,62.53186459,68.73592021,68.01995249,62.53186459,68.73592021,398.269989,0.463278679,,,81.78897354,70.97962136,7.989063989,8.745118701
182.8699951,185.2599945,181.3399963,184.9700012,184.7739563,19432400,176.7289978,,,,,68.3761487,63.45979029,68.49188173,68.3761487,63.45979029,68.49188173,68.3761487,63.45979029,68.49188173,398.9200134,0.463676915,,,76.28271421,77.21731388,8.003034868,8.596701934
186.3500061,188.9299927,180.3000031,181.6900024,181.4974365,26582800,176.6419983,,,,,62.9888841,64.02534012,67.91901451,62.9888841,64.02534012,67.91901451,62.9888841,64.02534012,67.91901451,391.5599976,0.464015741,,,70.76357366,76.27842047,7.661125712,8.40958669
181.0099945,184.7700043,178.8000031,179.5099945,179.3197327,25665000,176.7214981,,,,,59.62631867,64.34123973,66.75180477,59.62631867,64.34123973,66.75180477,59.62631867,64.34123973,66.75180477,385.9100037,0.465160252,,,63.42142877,70.15590554,7.132038126,8.154076977
177.9600067,183.7799988,174.8200073,180.8999939,180.7082672,24728000,177.0589981,,,,,61.0539354,64.25643743,65.75945003,61.0539354,64.25643743,65.75945003,61.0539354,64.25643743,65.75945003,385.3599854,0.469431183,,,57.44491207,63.87663816,6.747117169,7.872685015
187.5800018,194.3200073,186.5599976,194.0200043,193.8143616,41642600,177.7884987,,,,,71.35123649,65.55003341,65.20452116,71.35123649,65.55003341,65.20452116,71.35123649,65.55003341,65.20452116,391.730011,0.49529012,,,69.80109109,63.55581064,7.415261211,7.781200254
192.9499969,197.7799988,190.8399963,197.75,197.5404053,42123600,178.7019989,162.3907993,,,,73.49668853,66.96507512,64.68427585,73.49668853,66.96507512,64.68427585,73.49668853,66.96507512,64.68427585,389.2799988,0.50798911,0.406172265,,85.70035528,70.98211948,8.151781003,7.855316404
198.2599945,205.7599945,196.0899963,204.9299927,204.7127838,50447100,180.0904984,163.9945992,,,,77.05824559,67.84443438,64.72407322,77.05824559,67.84443438,64.72407322,77.05824559,67.84443438,64.72407322,396.1099854,0.517356291,0.409968265,,98.83784142,84.7797626,9.208691584,8.12599144
200.5599976,201.8999939,195.4299927,195.6100006,195.4026794,50141100,181.2489983,165.3593991,,,,64.87192083,67.42703676,64.52106029,64.87192083,67.42703676,64.52106029,64.87192083,67.42703676,64.52106029,389.9899902,0.501576978,0.413361801,,89.35761965,91.29860545,9.188337924,8.338460737
198.4799957,199.3600006,193.6399994,197.8099976,197.6003418,25186300,182.4954979,166.776799,,,,66.22955162,67.22810333,64.52884938,66.22955162,67.22810333,64.52884938,66.22955162,67.22810333,64.52884938,393.7399902,0.502387368,0.416717578,,81.67162618,89.95569575,9.243179253,8.51940444
